نوع البطولة,الفريق الاول,النتيجة,الفريق الثاني ,ميعاد المباراة
كأس العالم,اليــــابان,1 - 1,كرواتيا,17:00
كأس العالم,البرازيل,4 - 1,كوريا الجنوبية,21:00
